,sex,age,race,priors_count,score_factor,felony
1,1,34,0,0,1,1
2,1,24,0,4,1,1
6,1,41,1,14,0,1
8,0,39,1,0,1,0
10,1,27,1,0,1,1
11,1,23,0,3,0,0
12,0,37,1,0,1,0
13,1,41,0,0,1,1
14,0,47,1,1,1,1
15,1,31,0,7,1,1
17,1,25,0,3,0,1
18,1,31,1,6,0,1
19,1,31,1,5,1,1
20,1,64,0,13,0,1
21,1,21,0,1,0,1
22,1,27,1,0,1,0
23,0,21,1,0,1,1
25,1,43,1,1,1,0
27,1,27,0,8,1,1
29,1,26,0,5,0,1
30,1,33,0,0,0,1
31,1,30,1,9,0,1
32,1,32,0,4,0,1
33,1,55,1,0,1,1
36,0,33,1,4,0,0
37,1,24,1,1,1,0
38,1,34,0,21,0,1
39,1,29,1,0,1,0
40,0,21,0,2,0,1
41,1,51,0,2,1,0
42,1,29,1,2,1,0
43,0,51,0,7,1,1
44,1,29,0,0,0,1
45,1,25,1,9,0,0
46,1,35,0,13,0,1
47,1,49,1,0,1,0
49,1,29,0,0,1,1
50,1,29,1,1,1,1
54,1,31,0,15,0,1
55,1,24,0,2,1,1
57,1,49,0,4,1,0
58,1,53,1,8,0,1
59,1,35,0,5,1,1
61,1,27,0,15,0,1
62,1,38,1,4,1,0
63,1,22,0,1,1,1
65,1,29,0,4,0,1
67,1,27,0,6,0,1
69,0,56,0,0,1,0
72,1,39,0,1,1,0
73,1,29,0,5,0,1
74,1,27,1,1,0,1
75,1,40,0,2,1,1
76,1,22,0,1,1,0
77,1,22,1,0,0,1
78,0,26,0,1,1,1
80,1,32,0,0,1,1
81,1,41,0,1,1,0
82,1,30,0,8,0,0
84,1,25,0,14,0,1
86,1,22,0,2,0,1
88,0,35,0,1,1,0
89,1,36,0,9,0,1
90,1,26,1,7,0,1
92,1,25,1,9,0,1
94,0,20,1,0,0,1
95,1,39,1,2,1,1
97,0,54,1,0,1,0
99,1,19,0,1,1,0
101,1,30,0,1,1,1
102,0,39,1,0,1,1
103,1,24,1,8,0,1
104,1,30,1,0,1,1
105,1,31,1,0,0,0
106,0,39,1,1,1,1
108,1,43,1,1,1,1
109,1,21,0,3,0,1
110,1,38,1,5,1,0
111,1,34,1,0,0,1
112,1,33,0,5,0,1
113,1,37,0,3,1,1
114,1,42,1,1,1,1
115,1,41,0,10,0,1
116,1,22,0,0,1,1
117,1,33,0,28,0,1
118,1,31,0,1,0,0
120,1,31,1,13,0,1
121,1,27,0,3,0,1
123,1,52,1,3,0,0
124,1,33,0,19,0,1
127,1,42,1,6,1,1
128,0,25,1,2,1,1
129,1,30,1,1,1,0
132,1,28,1,0,1,0
133,0,24,0,0,1,0
134,0,29,1,10,1,1
135,1,44,1,2,1,0
137,1,32,0,3,0,1
138,1,31,1,2,1,0
139,1,31,0,1,1,0
140,1,59,1,1,1,1
142,0,20,0,1,0,1
143,0,43,1,0,1,0
144,1,38,0,9,0,1
145,1,32,0,11,0,1
146,1,33,0,8,0,0
147,0,31,0,0,1,1
148,0,33,0,7,0,1
149,1,27,0,2,0,1
150,0,20,0,0,0,1
151,0,26,1,0,0,0
152,0,61,0,1,1,1
155,0,32,0,4,0,1
158,0,26,0,2,1,0
160,1,39,1,1,1,0
161,0,30,1,3,0,1
162,1,30,0,1,0,1
163,1,48,1,2,1,0
164,1,22,0,1,1,1
165,1,46,1,6,1,1
167,1,31,1,0,0,1
168,1,25,0,1,1,0
170,0,32,0,5,0,1
172,1,62,0,8,1,1
176,1,28,0,6,0,0
179,1,78,1,1,1,0
180,1,56,1,0,1,1
183,1,22,0,1,0,1
184,1,47,0,23,0,0
185,1,23,0,0,1,0
188,1,66,0,3,1,1
189,1,45,1,8,1,0
192,1,37,0,2,0,0
193,1,39,1,0,1,1
194,1,26,0,9,0,1
195,1,45,1,2,1,1
196,1,23,0,0,1,1
197,1,34,0,2,1,0
198,0,23,0,1,1,0
200,1,50,1,1,1,1
201,0,37,1,0,1,0
202,1,44,1,4,1,0
203,0,35,0,23,0,1
205,1,26,0,2,0,1
206,1,27,0,0,1,0
207,0,28,0,0,0,1
209,0,28,1,7,0,1
210,1,38,0,2,1,1
212,0,28,0,1,0,1
213,1,56,1,7,1,1
214,1,38,0,15,0,1
215,1,28,0,2,0,0
219,0,51,1,0,1,0
220,1,51,1,0,1,0
222,1,48,0,0,1,1
223,1,37,1,4,1,1
224,0,30,0,2,0,1
225,0,41,0,5,0,0
226,1,27,0,11,0,1
227,1,37,0,0,1,0
229,1,54,0,11,0,1
230,1,23,0,2,0,1
232,1,41,0,0,1,0
233,1,52,1,0,1,1
234,1,43,1,13,1,1
235,1,52,0,0,1,1
236,1,28,1,1,1,1
237,1,30,0,11,0,0
238,1,28,1,1,0,1
239,1,22,0,0,1,1
240,1,30,0,4,1,1
242,1,31,1,0,0,1
243,1,37,1,0,1,1
244,1,32,0,14,0,1
246,1,53,1,1,1,0
247,1,28,0,25,0,1
248,1,44,1,8,0,0
249,1,25,0,0,1,1
250,1,22,1,1,0,0
260,0,23,1,5,0,1
262,1,29,0,1,1,0
263,1,20,0,1,0,1
264,1,30,0,2,0,1
266,1,27,0,4,1,1
268,0,37,0,2,1,1
269,1,20,0,0,0,1
271,0,52,0,0,1,1
272,0,23,0,0,1,1
273,0,48,0,0,1,1
275,1,25,1,0,0,1
276,1,27,1,0,0,1
277,1,30,0,11,0,1
278,1,22,0,3,0,0
279,0,22,1,1,1,1
282,0,41,0,2,1,0
285,1,52,0,3,0,1
286,1,43,0,0,1,1
287,1,37,1,3,1,1
289,1,70,1,1,1,0
291,1,46,1,3,1,1
292,1,21,0,0,0,0
293,1,26,0,1,0,0
295,1,34,1,5,1,0
297,1,34,0,5,1,0
298,1,23,1,0,0,1
299,1,34,0,5,1,1
301,1,39,0,6,1,1
304,1,58,1,2,1,1
305,0,21,0,0,0,0
307,1,23,0,4,0,0
308,1,62,1,0,1,1
310,1,37,1,5,1,1
312,0,32,0,5,1,1
314,1,27,0,0,1,0
315,1,44,1,0,1,0
316,1,28,1,3,1,0
317,0,42,1,0,1,1
319,1,27,0,0,1,1
320,1,20,0,0,0,1
321,0,51,1,0,1,0
322,1,56,1,0,1,0
323,1,29,0,7,0,1
324,1,20,0,0,0,1
326,1,27,1,8,0,1
327,1,24,0,2,0,1
328,1,53,1,36,0,1
329,1,28,1,2,1,0
332,0,36,0,0,0,1
333,0,25,1,2,1,0
335,1,28,1,1,0,1
336,0,21,0,0,0,1
337,1,36,1,0,1,0
338,1,24,0,0,1,1
341,1,29,0,0,1,1
342,0,30,1,0,0,0
346,1,32,0,12,0,1
347,1,23,0,1,0,1
348,1,47,0,3,1,1
350,1,37,1,0,1,1
351,1,19,0,2,0,1
354,0,21,1,0,0,1
355,1,69,1,0,1,0
356,1,21,1,2,0,1
357,1,26,0,6,0,0
358,1,22,1,0,1,1
359,0,23,0,0,0,1
360,1,49,0,3,0,1
361,1,29,0,2,1,0
362,0,60,1,0,1,0
364,1,23,0,3,0,1
368,1,30,1,0,1,1
369,1,21,0,1,1,1
370,1,22,1,2,0,0
372,1,21,0,4,0,1
373,1,21,0,0,0,1
374,1,34,1,1,1,0
375,0,50,1,1,1,0
376,1,40,1,0,0,1
377,1,25,0,7,0,1
378,0,53,1,1,1,0
379,0,24,0,0,1,1
380,1,42,0,1,1,1
381,1,28,0,1,1,0
383,1,26,0,6,0,1
384,1,22,0,4,0,1
385,1,21,1,3,0,0
386,1,37,0,23,0,1
387,1,35,0,2,0,1
388,1,53,0,2,1,1
390,1,29,0,7,1,1
391,1,48,1,23,0,1
392,0,52,1,0,1,0
393,1,27,0,12,0,1
394,1,28,0,5,0,1
395,1,33,1,3,1,0
398,1,36,0,14,0,1
399,1,29,0,2,0,1
400,1,22,0,0,0,0
402,1,25,1,0,1,1
404,1,56,0,5,1,1
405,1,27,0,9,0,1
406,1,52,1,4,1,1
407,1,32,0,3,1,1
410,0,39,1,0,0,0
411,1,56,1,0,1,0
412,0,22,0,0,0,1
414,1,53,0,11,0,1
415,1,25,1,0,1,0
417,1,22,1,0,1,1
418,0,58,1,2,1,0
419,1,31,0,7,1,0
420,1,22,1,1,0,1
421,1,28,0,8,0,1
423,1,20,0,0,0,1
424,1,29,1,0,0,0
426,1,58,0,21,0,0
427,1,22,0,3,0,1
429,1,37,1,0,1,1
430,1,57,0,1,0,1
431,1,27,1,3,1,0
432,1,26,0,3,1,1
433,1,24,1,3,0,1
434,1,33,1,0,1,1
435,1,29,0,2,0,1
436,0,24,0,3,0,1
437,1,19,1,1,0,1
438,1,36,1,2,1,0
439,0,24,1,0,0,1
440,1,34,1,0,1,0
442,1,20,0,1,0,1
444,1,24,0,1,1,0
445,1,61,1,4,1,1
446,0,50,0,3,1,1
447,1,30,0,1,1,0
448,1,38,0,5,1,1
449,1,24,1,0,1,0
451,0,46,0,2,0,1
452,1,41,1,0,1,0
454,1,27,0,13,0,0
456,1,26,0,1,0,0
457,1,29,0,3,0,1
458,1,52,1,6,0,1
459,1,28,1,1,1,1
461,1,55,0,5,1,1
462,1,26,0,10,0,1
463,1,28,0,5,0,1
464,1,63,1,2,1,1
465,1,42,0,0,1,1
466,1,23,0,6,0,1
467,1,54,0,28,0,1
468,1,35,0,8,0,1
469,0,24,0,6,0,1
470,1,54,0,2,1,0
471,1,58,0,12,0,0
472,1,23,1,1,0,0
473,1,35,0,1,1,0
474,1,20,0,1,0,1
475,1,51,1,0,1,1
477,1,37,1,3,1,1
478,1,47,1,3,1,1
479,1,34,1,4,0,1
480,1,56,1,0,1,1
482,1,59,1,1,1,1
486,0,24,1,6,0,1
487,1,21,1,2,0,0
490,1,26,0,1,1,1
491,0,30,1,0,1,0
493,1,29,1,0,1,0
494,1,54,0,0,1,0
495,1,29,0,4,1,1
496,0,59,1,0,1,0
497,1,38,0,0,0,1
500,1,27,1,1,1,0
503,1,66,0,33,0,1
504,1,27,1,2,0,1
505,1,51,1,1,1,0
506,1,35,1,1,1,1
508,1,52,1,4,1,0
511,0,26,0,0,1,0
512,0,48,1,0,1,0
515,1,33,0,2,1,0
516,0,34,0,6,1,1
518,1,59,0,10,0,1
519,1,29,0,5,0,1
520,1,24,1,0,1,1
521,1,48,1,1,0,1
523,1,52,0,4,0,0
524,1,20,0,0,1,1
525,1,25,1,4,1,1
526,1,24,1,0,1,1
527,1,23,1,0,0,0
528,1,27,1,6,1,1
529,1,25,0,1,1,0
530,1,31,0,0,1,1
531,1,25,0,6,1,1
532,1,32,1,1,1,1
533,1,21,1,0,1,1
535,1,25,1,0,1,1
537,1,35,0,0,0,1
538,1,42,0,14,0,1
539,1,24,1,9,0,0
542,1,47,1,1,1,0
543,1,27,0,5,0,1
545,1,46,1,2,0,1
546,1,44,0,1,1,0
548,1,23,1,2,1,1
550,1,42,0,8,0,1
551,1,58,0,6,0,1
552,1,26,0,3,0,1
554,1,39,0,3,1,1
555,1,21,0,3,0,1
556,1,63,1,1,1,0
557,1,22,0,3,0,1
558,1,50,0,3,1,0
559,1,38,0,0,1,1
560,1,41,1,1,0,1
561,1,28,0,16,0,1
562,0,30,0,0,1,0
563,1,23,0,1,0,1
564,1,25,1,2,1,1
565,1,40,1,5,1,1
567,1,27,0,5,1,0
568,1,44,1,11,1,0
569,0,35,0,6,1,1
570,1,42,1,0,1,0
571,1,38,0,15,0,1
573,0,25,0,0,1,0
576,0,49,1,2,1,0
577,1,50,1,5,1,1
579,1,66,1,0,1,0
580,0,46,1,0,1,0
581,1,30,0,5,0,1
582,0,22,1,0,1,0
583,1,23,1,1,1,0
590,1,25,0,0,1,0
591,0,21,1,0,0,1
592,1,27,0,0,1,0
595,0,24,1,0,0,1
596,1,20,0,1,1,1
597,1,31,0,3,0,0
598,1,27,0,3,0,0
600,1,40,0,0,1,1
601,1,22,0,11,0,1
602,0,38,0,1,1,1
604,1,30,0,1,0,0
605,1,27,1,6,0,1
607,0,59,1,0,1,0
608,1,37,1,2,1,0
609,1,28,0,5,0,0
610,1,38,1,0,1,1
611,1,22,0,0,0,1
613,1,25,0,4,0,1
614,1,51,1,0,1,0
616,1,29,1,2,1,0
617,1,28,0,10,1,1
619,1,55,0,9,1,0
620,0,23,1,3,0,1
621,0,22,0,0,0,0
622,0,19,1,2,0,1
623,1,31,0,1,1,0
624,1,29,0,0,1,0
625,1,61,0,15,0,1
628,1,20,0,4,0,1
629,1,26,1,3,0,1
630,1,27,1,5,0,0
631,1,25,1,1,0,1
632,1,23,1,3,0,1
633,1,38,0,0,1,1
634,1,27,0,18,0,1
635,0,35,1,0,1,1
637,0,58,0,4,1,1
638,0,57,1,0,1,0
639,1,21,0,0,1,1
640,0,22,0,0,0,1
641,1,30,0,0,1,1
645,1,30,0,8,0,1
646,0,31,0,10,0,1
647,0,45,1,1,0,1
649,1,39,1,2,1,1
650,1,31,0,0,0,1
651,1,22,0,1,1,1
653,1,27,0,13,0,1
654,1,38,1,1,1,1
655,1,31,0,23,0,1
656,1,47,0,20,0,1
657,1,22,0,3,0,1
658,1,35,0,1,0,0
660,1,65,0,2,1,0
661,1,35,0,0,1,0
662,0,33,0,0,1,1
663,1,53,1,1,1,0
665,1,21,0,0,0,1
666,1,37,0,11,1,1
671,0,31,0,0,1,0
672,0,59,1,2,1,1
673,1,27,0,0,1,0
674,1,36,0,0,0,0
675,1,46,0,17,0,1
676,1,22,0,3,0,1
677,0,28,1,0,1,0
678,0,34,1,15,0,1
680,1,23,0,2,0,0
681,1,27,0,3,1,1
683,1,48,1,3,1,1
686,1,31,0,5,0,1
687,1,36,0,4,0,0
689,1,44,0,14,0,1
690,1,53,1,2,1,1
691,1,33,0,3,1,0
694,1,47,1,2,0,1
695,1,57,0,20,0,1
696,1,28,0,2,1,0
697,1,24,0,1,0,0
698,1,44,0,1,1,1
699,1,46,0,0,1,1
700,1,37,0,6,1,1
701,1,26,0,10,0,0
702,1,27,0,10,0,1
703,1,40,1,1,1,1
704,0,60,1,9,1,1
705,1,53,1,1,1,1
707,1,28,0,0,1,1
709,0,46,1,2,0,1
710,1,23,0,0,0,1
713,1,50,0,18,0,1
714,1,45,0,0,1,0
715,1,22,0,1,0,1
716,1,26,1,1,1,1
717,1,62,1,0,1,1
718,1,34,1,0,1,0
720,1,21,1,0,1,0
721,1,25,1,0,1,1
722,1,68,1,0,1,0
724,1,21,1,1,1,1
726,1,22,0,0,0,1
728,1,42,1,1,1,1
729,1,22,1,1,1,1
730,1,45,0,0,1,1
731,0,36,0,4,0,1
732,1,48,0,2,0,1
734,1,23,0,6,0,1
735,1,24,0,0,0,1
736,1,29,0,0,1,1
737,1,24,0,0,1,1
738,1,50,0,11,0,1
739,1,34,0,10,0,1
740,1,23,0,0,1,1
741,0,22,1,0,0,0
743,1,30,1,22,0,1
744,1,21,0,0,0,1
745,0,53,1,0,1,1
747,1,25,0,7,0,0
748,0,25,0,1,0,0
749,1,71,0,8,1,1
750,1,39,0,10,0,0
751,0,37,0,0,0,1
752,1,20,0,0,0,1
753,0,29,0,3,0,1
754,1,22,0,2,0,1
755,1,26,0,4,0,1
757,0,47,0,19,0,1
760,0,20,1,1,0,1
761,0,23,0,0,1,1
764,0,53,0,0,1,1
765,0,23,0,0,0,1
766,1,26,0,5,0,1
767,1,25,0,6,0,1
769,1,27,0,4,0,1
771,1,29,0,1,1,0
774,1,31,0,0,1,0
775,1,41,0,8,0,1
776,1,25,1,0,1,0
777,1,47,1,0,1,0
778,1,37,0,4,1,1
779,0,35,0,4,0,1
780,1,24,1,1,1,0
781,1,21,1,2,0,1
782,1,22,1,0,1,1
783,1,57,0,11,0,1
784,1,48,1,0,0,1
786,0,37,0,3,0,1
787,1,31,1,0,1,0
788,1,22,0,1,0,1
789,1,31,1,2,1,0
790,1,24,0,0,0,1
791,1,32,0,22,0,1
793,1,63,0,0,1,0
797,1,20,1,0,1,1
798,0,24,0,1,0,0
799,0,36,0,1,1,0
801,1,28,1,2,0,1
802,1,36,0,3,1,1
803,0,33,0,0,1,0
804,1,39,0,0,1,1
806,1,30,0,17,0,1
808,1,24,0,1,1,1
811,1,35,0,7,0,1
812,1,24,0,0,1,1
814,1,26,1,8,1,1
816,1,28,0,14,0,1
817,1,32,0,0,0,0
818,0,32,1,1,1,0
819,1,33,0,5,0,0
820,1,29,0,16,0,1
821,1,34,1,1,1,0
823,1,43,1,0,1,0
824,1,47,1,2,1,1
825,1,25,0,3,0,0
826,0,23,0,1,1,1
827,1,39,1,2,1,0
828,1,35,0,13,0,1
831,1,43,0,20,0,1
832,1,25,0,3,0,1
833,1,48,0,25,0,1
834,1,22,0,1,0,0
835,1,52,0,9,0,0
836,1,26,1,5,1,1
837,1,67,0,4,0,0
838,1,34,0,4,1,0
839,1,56,1,4,1,0
840,1,28,0,1,1,1
841,1,29,0,2,1,0
843,1,37,0,6,0,1
845,1,51,1,0,1,1
846,1,20,0,1,0,0
847,1,26,1,4,0,0
848,0,39,1,1,1,0
849,1,21,0,1,0,1
850,1,21,0,1,0,1
851,1,24,1,3,1,1
852,1,26,0,4,0,0
853,1,48,1,1,1,1
854,1,24,0,5,0,1
855,1,26,1,0,1,1
856,1,46,1,0,1,1
858,1,24,0,7,0,0
859,0,21,1,0,0,0
860,1,24,0,1,1,1
862,1,36,0,9,0,0
863,1,30,0,5,1,1
864,0,22,1,1,0,1
865,1,25,0,0,0,1
866,1,31,0,25,0,0
867,1,24,0,0,1,1
868,1,39,0,13,0,1
871,0,30,0,4,1,1
872,1,40,1,0,1,1
873,0,52,0,0,1,1
874,1,23,0,3,0,1
875,0,26,0,1,1,0
876,1,22,1,1,0,1
877,1,42,1,3,1,1
878,1,23,0,6,0,1
880,1,28,0,1,1,1
882,1,50,1,1,1,1
884,1,32,0,1,0,1
886,1,51,0,3,1,1
887,1,19,1,1,1,0
888,1,32,0,4,0,1
889,0,31,1,1,1,1
890,0,29,0,1,0,1
892,1,26,0,9,0,1
893,1,27,1,0,0,1
894,1,52,1,1,1,1
897,1,28,0,3,0,0
898,1,32,0,3,1,1
899,1,27,0,5,1,0
901,0,42,1,0,1,0
902,1,33,0,0,1,1
904,0,28,1,3,1,0
905,0,53,1,0,1,0
906,1,24,1,0,1,1
909,1,39,0,6,0,0
910,1,22,0,1,0,1
911,1,46,0,2,1,1
912,1,25,0,0,1,0
913,1,52,1,1,0,1
914,1,28,0,4,1,0
915,0,57,1,1,1,1
916,1,49,0,3,1,1
917,1,21,0,2,0,1
918,1,32,0,19,0,1
919,1,63,0,3,0,0
920,1,29,1,2,1,1
921,1,46,0,0,1,0
923,1,28,0,10,0,0
924,1,27,0,1,1,1
928,0,33,1,1,1,0
931,1,32,0,14,0,1
932,1,24,0,2,0,1
933,1,26,0,5,0,1
935,1,25,1,1,0,1
936,1,21,0,1,0,1
937,1,25,0,2,1,0
938,1,22,0,6,0,1
939,0,26,1,0,0,1
940,1,20,1,0,1,1
941,1,30,0,1,0,0
942,1,45,0,0,0,1
943,1,33,0,7,0,1
944,1,35,1,2,1,1
945,1,41,1,5,1,1
946,1,23,1,0,1,0
947,0,21,1,0,0,0
948,1,54,0,0,1,1
949,1,27,0,10,0,1
950,1,22,1,0,1,0
952,1,23,0,2,0,1
954,1,36,0,5,0,0
956,1,29,0,10,0,1
957,1,54,0,4,0,0
958,1,22,1,2,0,0
960,1,26,0,0,1,0
961,0,20,0,0,1,1
963,1,52,0,6,1,0
964,1,29,0,0,1,1
965,0,23,0,6,0,0
966,1,35,0,1,1,0
967,1,32,1,8,0,1
968,1,21,0,1,0,0
971,1,30,0,4,1,0
972,0,30,0,3,1,1
973,1,23,0,2,0,1
974,1,32,1,8,1,1
976,1,29,0,6,0,1
977,1,42,1,0,1,0
978,1,21,0,0,0,1
980,0,22,0,0,1,0
982,1,29,0,0,1,0
984,1,30,0,6,0,1
985,1,51,0,17,1,0
989,1,24,1,2,0,1
990,1,23,0,2,0,0
992,1,36,0,5,1,1
997,1,39,0,1,0,1
998,1,29,0,2,0,1
1001,1,44,1,6,1,1
1002,1,25,0,2,0,1
1003,1,31,0,0,0,1
1004,1,35,0,17,0,0
1005,1,27,0,11,0,0
1006,1,33,0,1,0,1
1007,1,28,0,6,0,1
1009,1,60,1,1,1,1
1014,0,54,0,0,1,1
1016,1,24,1,3,1,0
1019,0,75,0,5,1,1
1020,1,36,0,16,0,1
1023,0,25,0,5,0,0
1024,1,46,1,0,1,1
1025,1,27,0,1,1,1
1027,1,28,0,3,1,0
1028,1,42,0,13,0,0
1029,1,59,0,2,1,0
1030,1,39,1,1,1,1
1031,1,46,1,5,1,0
1033,1,55,1,2,1,1
1034,1,35,0,1,0,0
1035,1,43,0,0,1,0
1036,0,53,1,0,1,0
1037,0,21,0,0,0,0
1038,1,55,0,17,0,1
1039,1,27,0,1,1,1
1040,1,40,0,0,1,1
1041,0,37,1,0,1,0
1042,1,32,1,2,1,0
1043,1,32,0,2,1,0
1044,1,36,0,4,0,0
1046,0,31,0,0,0,1
1047,0,26,0,4,0,1
1048,0,50,1,30,0,0
1049,1,47,0,4,1,1
1050,1,36,0,2,1,1
1051,0,38,1,0,1,1
1053,1,53,1,0,1,1
1054,1,53,0,2,1,1
1055,1,57,0,19,0,1
1056,1,22,0,5,0,1
1057,1,21,0,0,0,1
1058,1,26,0,0,1,1
1060,1,27,0,2,0,1
1061,0,49,1,4,0,1
1062,1,47,1,1,1,1
1063,1,30,0,8,0,1
1064,1,44,1,3,1,1
1065,1,34,0,1,1,1
1066,1,45,0,10,1,1
1068,1,50,1,2,1,0
1069,1,29,1,1,0,0
1070,1,26,1,0,1,1
1072,0,22,0,1,0,1
1074,1,49,1,0,1,1
1075,1,49,0,1,1,1
1076,1,59,1,2,1,1
1077,1,32,1,6,0,0
1078,1,24,0,1,1,0
1080,1,32,0,0,1,1
1082,1,27,0,9,0,1
1084,1,25,1,2,0,0
1087,1,20,1,0,0,0
1088,1,37,0,18,0,0
1089,0,30,1,5,0,1
1090,1,23,0,1,0,1
1091,0,20,0,0,0,1
1096,1,50,1,8,1,1
1097,1,50,0,7,1,1
1098,1,40,1,3,1,1
1100,0,24,1,2,0,1
1102,0,23,0,3,0,1
1104,1,54,1,3,1,0
1105,1,25,1,4,0,0
1106,1,46,1,1,1,0
1109,0,22,1,0,1,0
1110,0,32,1,1,1,1
1111,1,25,0,0,1,0
1113,1,33,0,16,0,1
1116,1,33,0,4,0,0
1117,1,24,0,0,1,1
1118,1,33,0,12,0,0
1119,1,37,1,0,1,0
1120,0,40,1,0,1,0
1122,1,43,0,9,0,1
1124,1,35,0,5,0,1
1125,1,25,0,11,0,1
1126,1,61,0,1,1,1
1129,0,52,0,1,1,1
1131,1,39,0,1,1,0
1132,1,47,0,5,1,1
1134,0,52,1,6,0,0
1136,1,37,1,0,1,0
1137,0,24,0,0,0,1
1138,0,34,0,14,0,1
1141,1,25,1,1,1,0
1143,0,62,1,0,1,0
1144,1,23,1,0,1,1
1145,0,60,1,0,0,1
1146,1,35,1,0,1,0
1147,0,24,0,0,0,1
1149,1,30,1,0,1,0
1151,1,35,1,4,0,1
1152,0,28,1,0,1,0
1154,1,56,0,0,1,1
1155,1,23,0,2,1,1
1158,1,23,1,1,1,0
1159,1,21,0,0,0,1
1161,0,35,0,2,0,1
1162,1,33,1,3,1,0
1164,1,41,0,9,0,0
1165,1,24,0,0,0,1
1167,1,28,0,9,0,1
1169,1,49,0,3,1,1
1171,1,21,0,0,1,1
1172,0,27,0,3,0,1
1174,1,50,0,4,0,0
1175,0,23,0,0,1,0
1176,1,34,1,0,1,0
1178,1,25,0,4,0,1
1179,0,33,1,2,0,1
1183,0,29,1,11,0,1
1184,0,32,0,6,1,1
1186,1,52,0,3,1,1
1187,0,26,1,3,1,0
1188,1,31,1,2,1,1
1192,0,30,1,0,0,1
1193,1,20,0,0,0,0
1196,1,31,1,0,1,1
1198,0,37,1,1,1,0
1200,1,49,1,8,0,1
1201,0,33,0,1,1,1
1203,1,42,0,0,1,0
1204,1,44,1,0,1,1
1205,1,28,0,5,0,1
1206,1,32,0,4,0,1
1207,1,28,0,7,0,1
1208,1,38,1,0,1,1
1209,1,38,0,3,1,1
1211,0,34,0,0,1,0
1212,1,21,1,1,0,1
1213,1,36,0,1,0,1
1214,1,29,0,0,1,0
1215,1,34,0,3,0,1
1216,1,38,0,1,1,0
1217,1,36,1,0,1,1
1219,1,23,0,0,0,0
1220,1,47,1,0,1,0
1221,1,20,0,0,1,1
1222,0,25,0,2,0,1
1223,1,35,0,0,1,0
1225,0,28,1,1,1,0
1228,1,24,0,2,0,0
1229,1,22,0,0,0,1
1235,1,60,0,12,1,1
1236,1,33,0,6,0,0
1237,1,34,0,2,1,0
1238,1,24,1,4,0,0
1239,1,27,0,0,1,0
1240,1,29,0,4,0,1
1241,1,21,1,1,0,1
1244,0,42,1,0,1,1
1245,1,32,0,1,1,1
1247,1,30,1,3,1,0
1248,1,22,0,1,1,1
1249,1,20,1,0,0,0
1250,1,57,1,0,1,0
1251,1,51,1,3,1,1
1252,1,21,0,0,1,1
1253,1,22,0,0,0,1
1254,1,35,0,4,0,1
1256,1,58,1,2,1,1
1257,0,32,1,0,1,1
1259,1,30,1,9,0,0
1260,1,20,0,0,0,1
1262,0,45,1,5,1,0
1263,1,31,0,4,1,1
1266,0,53,1,1,1,0
1267,1,44,1,0,1,0
1268,0,44,1,1,0,0
1269,1,21,1,0,1,1
1270,1,28,0,0,1,0
1271,1,28,1,2,1,0
1272,1,24,0,0,1,1
1273,1,28,0,0,1,1
1274,1,53,1,4,1,1
1276,1,20,0,1,1,1
1277,1,21,0,0,0,0
1279,1,37,1,1,1,0
1282,1,30,1,0,1,0
1283,1,26,1,2,0,1
1284,0,26,0,5,0,1
1286,0,39,0,1,1,1
1288,1,44,0,2,0,1
1289,1,45,1,0,1,0
1290,1,30,0,1,1,1
